根据startDate和endDate计算workingDays, calculateWorkingDays
获取支持的预览格式列表,get supported preview formats  
给定另一 bitmap，若尺寸、config、像素数据均相同则返回 true,same as  
根据 menu item flags 禁用 action mode 菜单项,set disabled action mode menu items  
禁用此 Web interaction 上所有 timeout,with no timeout  
当 input view 对用户隐藏时调用,on finish input view  
根据 lookup URI 计算 content URI,lookup contact  
设置进入激活边缘后延迟多久开始 auto-scroll,set activation delay  
获取提供资源响应数据的 input stream,get data  
设置要显示的行数,setVisibleRowCount  
返回 parent 中的 child index,getIndexOfChild  
设置退出动画,set exit animations  
若选择模型当前已选定值则返回 true,isSelected  
设置对象启用状态,setEnabled  
返回字典序 comparator，包含提取比较 key 的函数,thenComparing  
返回此 view 的 bottom padding,get padding bottom  
对给定参数执行此操作,accept  
以升序返回此集合元素的 iterator,iterator  
确保测试后清理资源并触发 GC,tear down  
将指定集合所有元素添加到此属性,addAll  
返回文件选择器模式,get mode  
设置 media 尺寸,set media size  
返回弹出窗口请求的宽度,get width  
用于在 UI thread 运行部分测试的 helper,run test on ui thread  
边界 insets,editorBorderInsets  
发送原始 NFC 数据到标签并接收响应,transceive  
布局完成后由 RecyclerView 调用,record post layout information  
生成集合字符串表示并追加到结果,generate pattern  
返回当前进程中活跃本地 binder 对象数量,get binder local object count  
将 Parcelable 对象异构数组写入 parcel,write parcelable array  
获取所有分辨率变体的可读列表,getResolutionVariants  
检查给定号码是否为用户所在国家紧急号码,is local emergency number  
检索枚举下一个元素,next  
返回可添加到锚 view 实现拖动打开行为的 View.OnTouchListener,get drag to open listener  
指定创建连接时的用户名,user  
为菜单添加新的子菜单,add sub menu  
获取关联的 Vibrator 服务（若有）,get vibrator  
获取全局唯一打印机 ID,get id  
启用扩展窗口功能,request window feature  
返回该链接地址的 InetAddress,get address  
若矩形 a 与 b 相交则返回 true 并将此矩形设为交集,set intersect  
出于调试目的 dump Looper 状态,dump  
使用定点运算返回 this/rhs 整数部分,pow  
分配新的 char buffer,allocate  
当 drawable 需要重绘时调用,invalidate drawable  
指示此 Canvas 是否使用硬件加速,is hardware accelerated  
返回消息中可放置的最大字符数,showInternalConfirmDialog  
若此时间对象早于给定时间则返回 true,before  
获取当前选中的 route,get selected route  
向此通知添加可穿戴操作,add action  
结束当前数组编码,end array  
指定分配与数组元素之间的映射,set auto padding  
设置 lightweight popup 启用属性,setLightWeightPopupEnabled  
查找两缓冲区首个不匹配相对索引,mismatch  
在指定 InputSource 上下文中计算 XPath 表达式并返回 String,evaluate  
获取路由的 playback stream,get playback stream  
返回是否有 tile writer 正在写入,hasTileWriters  
若 drawable 在状态间带动画则立即跳到当前状态,jump to current state  
返回带星级评分的 Rating 实例,new star rating  
返回此 drawable 是否遵循 level 属性,get use level  
设置字符计数器最大长度,set counter max length  
设置提供资源响应数据的 input stream,set data  
启用或禁用球体颜色动画,enable orb color animation  
获取快照最大缩放值,get max zoom  
返回用户可见的条目描述,get description  
将 iterator 重置到集合开头,reset  
返回此列表元素数量,size  
每次测试迭代前调用,before loop  
返回可代理 ActionBarDrawerToggle 的 delegate,get drawer toggle delegate  
获取有数据的帧数,get frame count  
返回此 builder 定义对象的实例,build  
获取创建此 ViewHolder 的列表行 presenter,get list row presenter  
返回菜单项是否处于“激活”状态,isArmed  
当 fragment 调用 startActivityForResult 时调用,start activity from fragment  
将参数设为指定字节长度的 InputStream,setBinaryStream  
返回下拉列表 item 点击监听器,get on item click listener  
获取键盘类型,get keyboard type  
返回用于构造渲染组件 L&F 类名后缀,getUicLassId  
处理用户确认响应,confirm  
在可穿戴设备准备自动执行操作时显示标签,get in progress label  
返回声明此类型变量的泛型声明,getGenericDeclaration  
通过源包参数构建状态 URI,build source uri  
返回给定 locale 的输入法显示名称,getInputMethodDisplayName  
返回 JScrollBar.isFreeStanding 值,isFreeStanding  
将字符串解析为有理数,parse rational  
添加由标题/图标/提示组成的 tab,addTab  
从 XML 创建 drawable,create from xml  
ICC Profile Tag 'head',icSigHead  
通过数字地址字符串添加 DNS 服务器到 VPN,add dns server  
表示不允许 NULL 值,functionNoNulls  
当子 view 附加到 RecyclerView 窗口时调用,on child view attached to window  
重写以处理打开文件 blob 请求,open file  
若节点收集时拥有输入焦点则返回 true,is focused  
获取现有 MediaSession 包装器,obtain  
ICC profile 颜色空间类型 '4CLR',icSigSpace4CLR  
获取通道 solo 状态,getSolo  
构造可点击条件选择器,clickable  
测试此路径是否以给定路径结尾,endsWith  
填充右侧用户可用操作集,on create button actions  
测试子进程是否 core dumped,wcoredump  
返回视频高度,get video height  
获取关键帧值,get value  
等效于 view.setContentDescription,set content description  
判断元素是否为叶元素,isLeaf  
相对 put 方法写入 double,putDouble  
设置动画方向,set direction  
返回应用可用空闲字节数,get available bytes  
创建对齐位置偏移/跨度对,calculateAlignedPositions  
借出 tile 用于写入,getWritableTile  
返回 model 的选择,getSelectedIndex  
通过 PendingIntent 发送并允许指定 intent 信息,send  
设置点击首选项层级时导航回调,set on navigate to screen listener  
返回将小数点右移指定位数的 BigDecimal,move point right  
从资源加载布局动画控制器,load layout animation  
移除通知列表中的监听器,removeCellEditorListener  
设置 int 字段值,set value  
允许或禁止放大图像,set image scale up allowed  
返回选中位置,get selected position  
返回列表视图指定位置实际 intent,intent for position  
设置 ARGB 颜色助手,set argb  
设置 adapter 以提供数据和视图,set adapter  
尝试匹配给定位置文本与字符串数组,match string  
获取上下文关联的 AccountManager 实例,get  
ICC profile 标题位置：CMM ID,icHdrCmmId  
格式化 ICU BigDecimal,format  
设置允许扩展量为父高度倍数,set expansion factor  
提供单个引导操作视图的布局资源 ID,on provide item layout id  
返回解析后的文本对齐方式,get text alignment  
动画集持续时间为所有组件动画最大值,compute duration hint  
设置视图最小宽度,set minimum width  
给定未归一化数组返回归一化颜色/alpha 数组,getNormalizedComponents  
为此 holder 添加回调,add callback  
将矩形四舍五入为整数矩形,round out  
返回索引处命名空间前缀,getNamespacePrefix  
跳过空白/注释/处理指令直到 START 或 END 元素,nextTag  
返回实现给定接口的对象以访问非标准方法,unwrap  
当 ActionMode 完成时调用（必须 super 调用）,on action mode finished  
远程客户端读取描述符请求,on descriptor read request  
返回滚动结束位置,get final y  
处理通用运动事件,dispatch generic motion event  
返回 4 字母 ISO 15924 脚本代码,get short name  
获取颜色滤镜缓存,get color filter cache  
将当前值设为透视投影矩阵,load frustum  
dsyr2k 执行对称 rank-2k 运算,dsyr 2 k  
设置图层在其容器内的 gravity,set layer gravity  
返回此 ZonedDateTime 更改年份后的副本,withYear  
若操作提供者与菜单项关联则刷新可见性,refresh visibility  
返回处理指令内容,getData  
将下一个属性作为Java int写入流中,writeInt  
如果在适当版本的platform上运行就调用setUserVisibleHint,setUserVisibleHint  
给AppBarLayout添加一个onOffsetChanged listener,addOnOffsetChangedListener  
如果cell正在处于editing状态则返回true,isEditing  
assert 给定的matcher与SUT发出的唯一intent匹配,intended  
把record name和data add到index,addRecord  
返回backing这个buffer的byte array（可选操作）,array  
返回与calling user对应的user root Preferences节点,userRoot  
返回latest layout过程中dataset指定position的item的ViewHolder,findViewHolderForLayoutPosition  
设置dialog显示时的prompt,setPrompt  
如果message是email就返回true,isEmail  
返回组合predicate，表示此predicate与另一predicate的短路逻辑OR,or  
如果此rating与指定rating主rating相同且sub-rating包含其他rating则返回true,contains  
检查是否应该draw border,isBorderPainted  
用此方法获取某type可用的dynamic sensor列表,getDynamicSensorList  
报告bundle是否包含任何parcelled file descriptor,hasFileDescriptors  
获取document在打印时是否prefer缩放,shouldScaleForPrinting  
注册事件发生时调用的callback,setOnEventListener  
返回provider的type,type  
在指定ViewHolder上启动change动画时回调,onChangeStarting  
pin distance 0<=distance<=getLength然后计算对应matrix,getMatrix  
报告读取是否已被reader的abort方法中止,readAborted  
参见mmap2,mmap  
返回current animation fraction，即动画最近frame update中使用的interpolated分数,getAnimatedFraction  
移除所有接收scroll state或position变化通知的OnScrollListener,clearOnScrollListeners  
返回对此ContentProvider读写所需的permission name,getWritePermission  
parse字符串,parse  
返回指定index处的value,getValue  
设置当ActionProvider的overlay可见性变化时收到通知的listener,setVisibilityListener  
判断此remote connection的audio mode是否为VOIP,isVoipAudioMode  
当之前bound的client不再与IME关联时调用,onUnbindInput  
返回此类不带类名前缀的字符串表示,toShortString  
通过注册ContentObserver取消先前用此cursor注册的ContentObserver,unregisterContentObserver  
设置将从该layout记录diagnostic的Printer,setPrinter  
指定创建connection时用的shardingKey,shardingKey  
当PreparedStatement被driver检测为invalid时，在connection上注册的StatementEventListener会被调用,statementErrorOccurred  
当点击触发且伴随down motion event时收到通知,onDown  
通知host app应download文件,onDownloadStart  
获取读取此doc字符打印数据的Reader,getReaderForText  
默认实现从buffer当前cursor位置返回指定数量文本,getTextAfterCursor  
当child view现在拥有或不再拥有transient state时调用,onChildViewStateChanged  
获取此Looper的MessageQueue,getQueue  
此方法会把view的alpha属性animate到指定值,alpha  
返回此Spring的current value,getValue  
在指定位置插入带指定Action的menu item,insert  
设置货币小数分隔符,setMonetaryGroupingSeparator  
以java.sql.Date形式获取JDBC DATE参数的值,getDate  
创建Service Discovery Request,newInstance  
如LSSerializer接口一般描述中所述序列化指定节点,write  
返回callback捕获method的最大capture rate,getMaxCaptureRate  
获取此RatingBar的step size,getStepSize  
当binding为null时可选择把view visibility设为GONE,setNullItemVisibilityGone  
覆盖此回调以在点击child时接收通知,onChildClick  
设置root pane的layered pane,setLayeredPane  
设置sans-serif字体族名,setSansSerifFontFamily  
用指定translation预concat矩阵,preTranslate  
把矩阵m设为单位矩阵,setIdentityM  
将此函数应用到给定参数,applyAsLong  
负责pre-Honeycomb平台的回退,onKeyDown  
当ActionMode即将退出并destroy时调用,onDestroyActionMode  
根据指定locale返回font的字体face name,getFontName  
隐藏view,unselect  
返回新的RecyclerView.ItemAnimator.ItemHolderInfo用来存储ViewHolder信息,obtainHolderInfo  
当expandable list中的group展开时调用的回调方法,onGroupExpand  
设置line spacing参数,setLineSpacing  
返回attachment的URI,getUri  
当此调用的children变化时调用,onChildrenChanged  
获取storage id事件参数,getStorageId  
获取effect descriptor,getDescriptor  
设置matrix将RGB转换为YUV,setRGB2YUV  
restore过程已完成,restoreFinished  
卸载cache并释放所有active资源,close  
此细粒度通知告诉listener变化cell/row/column的确切范围,tableChanged  
截取当前窗口screenshot并保存为png，screenshot会按屏幕rotation调整,takeScreenshot  
将下一个属性作为ASCII字符流写入流,writeAsciiStream  
如果key event涉及dispatcher当前tracking的key code则返回true,isTracking  
描述子view的定位方式,getGravity  
判断此buffer是否由accessible array支持,hasArray  
返回当前soft input mode的int值,getSoftInputMode  
clean调用从id指示的每个remote object引用列表中移除vmid,clean  
在RecyclerView或其child处理touch事件前静默观察/接管事件,onInterceptTouchEvent  
表示此function返回table,functionReturnsTable  
返回scroll时的increment,getScrollableUnitIncrement  
检索smap给定进程使用的PSS内存,getPss
执行滑动手势至可滚动布局末尾,fling to end  
缩放控件可见性改变时调用,on visibility changed  
返回默认列编辑器,getDefaultEditor  
遇到不可恢复错误时调用,on authentication error  
移除 TabbedPane 所有标签页,removeAll  
通过 systemId 在目录中查找条目,matchSystem  
返回带主题的上下文（用于 ActionBar 视图）,get themed context  
从单个 URI 创建 DocumentFile,from single uri  
返回列表长度,getSize  
当用户启用 provider 时调用,on provider enabled  
ICC profile 颜色空间类型 'HSV',icSigHsvData  
读取并返回 typed array list,create typed array list  
尝试匹配 URL 路径,match  
返回会话创建时间（毫秒，1970-01-01 UTC）,getCreationTime  
获取 DataSource 的 log writer,getLogWriter  
创建虚拟显示,create virtual display  
人为设置计时器开始时间（毫秒）,set start time ms  
将此 RowSet 类型设为给定类型,setType  
设置是否在动画期间使用 clip 边界调整视图大小,set resize clip  
返回 LoaderManager 实例,get support loader manager  
控制扩展方向,set expansion direction  
向 intent 添加额外标志,add flags  
设置 switch 与文本间水平填充,set switch padding  
返回此节点有效策略,getValidPolicy  
将新下载加入队列,enqueue  
返回显示器当前旋转,get display rotation  
判断此日期时间是否在指定日期时间之后（忽略年表）,isAfter  
返回 this / rhs 的整数部分,divide integer  
打开流以写入 apk 文件,open write  
返回列表 iterator,iterator  
每当事件分派到 activity 时调用,on user interaction  
返回断开连接时播放的提示音,get tone  
读取数据到字节数组,read  
获取文本区域换行样式,getWrapStyleWord  
获取属性文本值,getAsText  
提供新配额（字节）,update quota  
注册音频录制回调,register audio recording callback
返回该 feature 的 property 集合,get properties  
绝对批量 put 方法（可选操作）,put  
返回 adapter 定义的 view type,get item view type  
通知 WebView 网络状态变更,set network available  
返回此 view 的 tag,get tag  
返回带默认值的 MediaFormat 实例,get default format  
设置 GPS processing method,set gps processing method  
返回指定 axis 的符号名（如 "axis x" 或数字常量 42）,axis to string  
设置此 action 的 intent,set intent  
返回 CardView background ColorStateList,get card background color  
设置设备当前 USB configuration,set configuration  
便捷方法：构建 key binding 数组,makeKeyBindings  
返回焦点遍历排序用的 Comparator,getComparator  
添加新属性,setAttributeNodeNS  
返回 Paint stroke cap,get stroke cap  
获取与 account 关联的旧名称（若无返回 null）,get previous name  
指示水平滚动时边缘是否 fade,is horizontal fading edge enabled  
通知应用录制会话已 tune 到指定频道,notify tuned  
返回此 YearMonth 减去指定 amount 的副本,minus  
返回 Y 方向最小 tile index,getMinTileY  
以字符串返回 parse 事件当前值,getText  
向 muxer 写入编码样本,write sample data  
若节点当前被勾选返回 true,is checked  
根据给定值判断 view 是否“可见”,is visible  
控制器发送自定义命令时调用,on command  
返回状态码优先级（数字越大越高）,get presence precedence  
创建共享内容的子序列 byte buffer,slice  
获取密钥授权持续时间（秒）,get user authentication validity duration seconds  
返回当前 tile 是否可写,isTileWritable  
返回字段数字格式（如 y=年份、m=月份）,get number format  
设置列当前值,set current value  
返回证书链预期策略集,getExpectedPolicies  
返回指定波段每样本位数,getSampleSize  
禁用文本颜色,disabledTextColor  
解码 base64 并返回新 byte[],decode  
返回此类型变量上限的 Type[],getBounds  
返回展开时滚动属性值,getScrollsOnExpand  
设置对话框肯定按钮文本,set positive button text  
填写用户可用操作集,on create actions  
获取 1970-01-01T00:00:00Z 纪元秒数,epochSecond  
获取最大宽度（像素）,get max width  
获取给定标签的 NDEF 实例,get  
对刻度线 drawable 应用 tint,set tick mark tint list  
从流读取 1 位并返回 0/1,readBit  
将一组选择参数追加到另一组,append selection args  
返回是否追踪父级更改,get reparent  
解码矩形区域图像,decode region  
此 LayoutManager 方法为空实现,addLayoutComponent  
返回指定索引 route,get route at  
返回带固定偏移区域的日期时间副本,withFixedOffsetZone  
比较此 collation key 是否相等,equals  
返回输入 raster 的 alpha 通道 raster,getAlphaRaster  
strsm 求解矩阵方程,strsm  
控制内部 fragment manager debug log,enable debug logging  
启动 muxer,start  
若已知则返回参数值,getParameter  
迭代 child 恢复原始尺寸,restore original params  
创建新 ViewDragHelper 的工厂方法,create  
检索服务指定类别的辅助信息,get aids for service  
设置一次性预览回调,set one shot preview callback  
刷新同步缓冲区,flush  
设置 spinner popup 水平偏移,set drop down horizontal offset  
设置 behavior 滑动方向,set swipe direction  
返回当前 transcript 模式,get transcript mode  
用例模板初始化并返回 capture request builder,create capture request  
获取 group view type,get group type  
获取图标描述,getAccessibleIconDescription  
获取累积增量范围状态,get accumulated delta range state  
创建系统选择器 Intent,create chooser intent  
获取当前播放位置（毫秒）,get position  
执行插入操作,insert  
测试模式是否为 socket,si ssock  
根据当前设置构建电话帐户实例,build  
获取最新缓冲区时间戳,get time stamp  
将 RowSet 参数设为 Reader,setCharacterStream  
设置 action mode 标题,set title  
返回平行条最大间隙,get gap size  
设置节点用户可见性,set visible to user  
保存勾选状态到 SharedPreferences,set checked  
后续对话框条目列表,get entries  
若对象包含指定值返回 true,contains key  
构建并返回 result target,build  
根据复数计数返回货币复数格式,get currency plural pattern  
选择选项时移除 listener,remove listener  
返回同类型对象并减去 amount,minus  
停止本地语音交互,stop local voice interaction  
相对批量 get 方法,get  
设置 presenter selector,set presenter selector  
获取视频稳定状态,get video stabilization  
设置搜索目标文本,set target  
便捷删除行,delete  
检查 SampleModel 与 ColorModel 兼容,isCompatibleSampleModel  
返回 fade 左侧边缘偏移,get fading left edge offset  
触发自动滚动,autoscroll  
返回纪元字符串,get eras  
返回对齐定义只读视图,get alignment defs  
获取或创建 ViewGroupOverlay,get overlay  
判断规则集相等,equals  
返回触发状态表示,get condition id  
外键可推迟,importedKeyInitiallyDeferred  
创建 CDATASection,createCDATASection  
设置 view holder 坐标及标志,set from  
返回所选项目或 null,getSelectedObjects  
获取 profile SIP URI,get uri string  
设置 logo 资源,set logo resource id  
模拟拖动视图到指定位置,drag view to x  
获取支持的流类型,get stream types  
返回 Toolbar 菜单,get menu  
删除数组全部值,remove all  
从此 Temporal 减去 Period,subtractFrom  
参见 getuid,getuid  
设置列名,setColumnName  
获取会话状态,get session state  
返回缓存 miss 次数,miss count  
设置焦点搜索回调,set on focus search listener  
写入开始元素,writeStartElement  
发现问题回调,report  
获取窗口可见显示框,get window visible display frame  
为 encoder 创建 input surface,create input surface  
返回 service data 映射,get service data  
与 MediaController 分离,detach  
测量文本宽度,measure text  
设置点阴影垂直偏移,set dot shadow dy  
注销 listener,unregister listener  
获取月份值（1-12）,getMonthValue  
返回索引处属性类型,get type  
设置颜色矩阵,set  
旋转向量转四元数,get quaternion from vector  
开始监听,start watching  
判断行节点是否展开,isExpanded  
获取标签技术列表,get tech list  
返回事务发起进程用户句柄,get calling user handle  
键入事件,keyTyped  
返回上午/下午字符串,get am pm strings  
返回滚动条可见范围,getVisibleAmount  
获取动画时长,get duration  
获取已提交文本长度,getCommittedTextLength  
返回字体表,getFontTable  
打印作业是否已启动,is started  
设置页边距 drawable,set page margin drawable  
返回匹配 spinner 文本的 matcher,with spinner text  
描述符读取结果回调,on descriptor read  
返回组件 Context,getContext  
RecyclerView 滚动回调,on scrolled  
返回元数据描述,get description  
通过 XML 限定名获取属性类型,getType  
启用/禁用子项修剪,set prune child  
返回搜索球颜色,get orb colors  
读取并返回 typed object,read typed object  
自动为小部件添加 padding,get default padding for widget  
获取触发 action,get action  
已过时,done  
通知停止 DTMF 音,on stop dtmf tone  
返回公历扩展年份,get gregorian year  
设置输入法 IPC handler,get handler  
获取可格式化 NDEF 实例,get  
将 fragment 添加到活动,add  
从 year/day 获取本地日期,dateYearDay  
返回对象列表 adapter,get adapter  
判断 gravity 是否垂直,is vertical  
精确安排闹钟,set exact  
返回通知成熟度评级,get maturity rating  
是否启用 fade,is fading enabled  
等效于 ImageView.setImageResource,set image view resource  
节点是否可勾选,is checkable  
计算 Lab 颜色欧氏距离,distance euclidean  
presenter view 分离时回调,on view detached from window  
数据库升级回调,on upgrade  
设置是否可断开路由,set can disconnect  
创建 UPnP 服务发现请求,new instance  
向路径追加圆弧,arc to  
获取列对象,getColumn  
预览帧回调,on preview frame  
headers 转换停止回调,on headers transition stop  
查询本地接口,query local interface  
读取属性并返回 Date,readDate  
通知卡总数变化,on notification count changed  
返回文档名称,get name  
返回转换传播属性集,get propagation properties  
获取输出格式列表,get output formats  
获取控制器当前值,getController  
ICC profile tag：bTRC,icSigBlueTRCTag  
添加支持分辨率,add resolution  
返回 create 次数,create count  
返回关联的 string[]（若不存在或 null 则返回 null）,get string array  
获取数据库最长等待时间,getLoginTimeout  
设置 buffer mark,mark  
与电视输入连接丢失时回调,on disconnected  
返回是否附加 click listener,has on click listeners  
设置容差,set tolerance  
取消注册回调,unregister callback  
获取卫星同步状态,get state
返回该 feature 的 property 集合,get properties  
绝对批量 put 方法（可选操作）,put  
返回 adapter 定义的 view type,get item view type  
通知 WebView 网络状态变更,set network available  
返回此 view 的 tag,get tag  
返回带默认值的 MediaFormat 实例,get default format  
设置 GPS processing method,set gps processing method  
返回指定 axis 的符号名（如 "axis x" 或数字常量 42）,axis to string  
设置此 action 的 intent,set intent  
返回 CardView background ColorStateList,get card background color  
设置设备当前 USB configuration,set configuration  
便捷方法：构建 key binding 数组,makeKeyBindings  
返回焦点遍历排序用的 Comparator,getComparator  
添加新属性,setAttributeNodeNS  
返回 Paint stroke cap,get stroke cap  
获取与 account 关联的旧名称（若无返回 null）,get previous name  
指示水平滚动时边缘是否 fade,is horizontal fading edge enabled  
通知应用录制会话已 tune 到指定频道,notify tuned  
返回此 YearMonth 减去指定 amount 的副本,minus  
返回 Y 方向最小 tile index,getMinTileY  
以字符串返回 parse 事件当前值,getText  
向 muxer 写入编码样本,write sample data  
若节点当前被勾选返回 true,is checked  
根据给定值判断 view 是否“可见”,is visible  
控制器发送自定义命令时调用,on command  
返回状态码优先级（数字越大越高）,get presence precedence  
创建共享内容的子序列 byte buffer,slice  
获取密钥授权持续时间（秒）,get user authentication validity duration seconds  
返回当前 tile 是否可写,isTileWritable  
返回字段数字格式（如 y=年份、m=月份）,get number format  
设置列当前值,set current value  
返回证书链预期策略集,getExpectedPolicies  
返回指定波段每样本位数,getSampleSize  
禁用文本颜色,disabledTextColor  
解码 base64 并返回新 byte[],decode  
返回此类型变量上限的 Type[],getBounds  
返回展开时滚动属性值,getScrollsOnExpand  
设置对话框肯定按钮文本,set positive button text  
填写用户可用操作集,on create actions  
获取 1970-01-01T00:00:00Z 纪元秒数,epochSecond  
获取最大宽度（像素）,get max width  
获取给定标签的 NDEF 实例,get  
对刻度线 drawable 应用 tint,set tick mark tint list  
从流读取 1 位并返回 0/1,readBit  
将一组选择参数追加到另一组,append selection args  
返回是否追踪父级更改,get reparent  
解码矩形区域图像,decode region  
此 LayoutManager 方法为空实现,addLayoutComponent  
返回指定索引 route,get route at  
返回带固定偏移区域的日期时间副本,withFixedOffsetZone  
比较此 collation key 是否相等,equals  
返回输入 raster 的 alpha 通道 raster,getAlphaRaster  
strsm 求解矩阵方程,strsm  
控制内部 fragment manager debug log,enable debug logging  
启动 muxer,start  
若已知则返回参数值,getParameter  
迭代 child 恢复原始尺寸,restore original params  
创建新 ViewDragHelper 的工厂方法,create  
检索服务指定类别的辅助信息,get aids for service  
设置一次性预览回调,set one shot preview callback  
刷新同步缓冲区,flush  
设置 spinner popup 水平偏移,set drop down horizontal offset  
设置 behavior 滑动方向,set swipe direction  
返回当前 transcript 模式,get transcript mode  
用例模板初始化并返回 capture request builder,create capture request  
获取 group view type,get group type  
获取图标描述,getAccessibleIconDescription  
获取累积增量范围状态,get accumulated delta range state  
创建系统选择器 Intent,create chooser intent  
获取当前播放位置（毫秒）,get position  
执行插入操作,insert  
测试模式是否为 socket,si ssock  
根据当前设置构建电话帐户实例,build  
获取最新缓冲区时间戳,get time stamp  
将 RowSet 参数设为 Reader,setCharacterStream  
设置 action mode 标题,set title  
返回平行条最大间隙,get gap size  
设置节点用户可见性,set visible to user  
保存勾选状态到 SharedPreferences,set checked  
后续对话框条目列表,get entries  
若对象包含指定值返回 true,contains key  
构建并返回 result target,build  
根据复数计数返回货币复数格式,get currency plural pattern  
选择选项时移除 listener,remove listener  
返回同类型对象并减去 amount,minus  
停止本地语音交互,stop local voice interaction  
相对批量 get 方法,get  
设置 presenter selector,set presenter selector  
获取视频稳定状态,get video stabilization  
设置搜索目标文本,set target  
便捷删除行,delete  
检查 SampleModel 与 ColorModel 兼容,isCompatibleSampleModel  
返回 fade 左侧边缘偏移,get fading left edge offset  
触发自动滚动,autoscroll  
返回纪元字符串,get eras  
返回对齐定义只读视图,get alignment defs  
获取或创建 ViewGroupOverlay,get overlay  
判断规则集相等,equals  
返回触发状态表示,get condition id  
外键可推迟,importedKeyInitiallyDeferred  
创建 CDATASection,createCDATASection  
设置 view holder 坐标及标志,set from  
返回所选项目或 null,getSelectedObjects  
获取 profile SIP URI,get uri string  
设置 logo 资源,set logo resource id  
模拟拖动视图到指定位置,drag view to x  
获取支持的流类型,get stream types  
返回 Toolbar 菜单,get menu  
删除数组全部值,remove all  
从此 Temporal 减去 Period,subtractFrom  
参见 getuid,getuid  
设置列名,setColumnName  
获取会话状态,get session state  
返回缓存 miss 次数,miss count  
设置焦点搜索回调,set on focus search listener  
写入开始元素,writeStartElement  
发现问题回调,report  
获取窗口可见显示框,get window visible display frame  
为 encoder 创建 input surface,create input surface  
返回 service data 映射,get service data  
与 MediaController 分离,detach  
测量文本宽度,measure text  
设置点阴影垂直偏移,set dot shadow dy  
注销 listener,unregister listener  
获取月份值（1-12）,getMonthValue  
返回索引处属性类型,get type  
设置颜色矩阵,set  
旋转向量转四元数,get quaternion from vector  
开始监听,start watching  
判断行节点是否展开,isExpanded  
获取标签技术列表,get tech list  
返回事务发起进程用户句柄,get calling user handle  
键入事件,keyTyped  
返回上午/下午字符串,get am pm strings  
返回滚动条可见范围,getVisibleAmount  
获取动画时长,get duration  
获取已提交文本长度,getCommittedTextLength  
返回字体表,getFontTable  
打印作业是否已启动,is started  
设置页边距 drawable,set page margin drawable  
返回匹配 spinner 文本的 matcher,with spinner text  
描述符读取结果回调,on descriptor read  
返回组件 Context,getContext  
RecyclerView 滚动回调,on scrolled  
返回元数据描述,get description  
通过 XML 限定名获取属性类型,getType  
启用/禁用子项修剪,set prune child  
返回搜索球颜色,get orb colors  
读取并返回 typed object,read typed object  
自动为小部件添加 padding,get default padding for widget  
获取触发 action,get action  
已过时,done  
通知停止 DTMF 音,on stop dtmf tone  
返回公历扩展年份,get gregorian year  
设置输入法 IPC handler,get handler  
获取可格式化 NDEF 实例,get  
将 fragment 添加到活动,add  
从 year/day 获取本地日期,dateYearDay  
返回对象列表 adapter,get adapter  
判断 gravity 是否垂直,is vertical  
精确安排闹钟,set exact  
返回通知成熟度评级,get maturity rating  
是否启用 fade,is fading enabled  
等效于 ImageView.setImageResource,set image view resource  
节点是否可勾选,is checkable  
计算 Lab 颜色欧氏距离,distance euclidean  
presenter view 分离时回调,on view detached from window  
数据库升级回调,on upgrade  
设置是否可断开路由,set can disconnect  
创建 UPnP 服务发现请求,new instance  
向路径追加圆弧,arc to  
获取列对象,getColumn  
预览帧回调,on preview frame  
headers 转换停止回调,on headers transition stop  
查询本地接口,query local interface  
读取属性并返回 Date,readDate  
通知卡总数变化,on notification count changed  
返回文档名称,get name  
返回转换传播属性集,get propagation properties  
获取输出格式列表,get output formats  
获取控制器当前值,getController  
ICC profile tag：bTRC,icSigBlueTRCTag  
添加支持分辨率,add resolution  
返回 create 次数,create count  
返回关联的 string[]（若不存在或 null 则返回 null）,get string array  
获取数据库最长等待时间,getLoginTimeout  
设置 buffer mark,mark  
与电视输入连接丢失时回调,on disconnected  
返回是否附加 click listener,has on click listeners  
设置容差,set tolerance  
取消注册回调,unregister callback  
获取卫星同步状态,get state
若 codec 无法继续但可通过 stop/configure/restart 恢复则返回 true,is recoverable  
默认实现将其转为回车键,perform editor action  
返回指定 stream 的最大音量索引,get stream max volume  
设置此实例的 gender 信息,set gender  
将状态设为 dialing（例如拨打 outbound 连接）,set dialing  
提供此 fragment 的构造参数,set arguments  
将 helper 附加到 view,attach  
检索与此对象关联的 message 描述,get message  
处理完 filter 时调用,on stop  
返回加载该数组的 resources 对象,get resources  
将系统时区 ID 转换为等效 Windows 时区 ID,get windows id  
报告属性类型声明,attributeDecl  
返回应应用于给定方法的 monitors 列表,get monitors  
返回表示此类型实际类型参数的 Type[] 数组,getActualTypeArguments  
每当系统捕获未处理的异常时调用,on exception  
返回 JPEG 图片中 EXIF 缩略图质量设置,get jpeg thumbnail quality  
返回卷的当前状态,get state  
设置要捕获视频的宽度和高度,set video size  
设置所需的中断过滤器,request interruption filter  
当设备用户取消共享错误报告时调用,on bugreport sharing declined  
cherk 执行 Hermitian rank-k 运算之一 c := α·A·Aᴴ+β·C 或 c := α·Aᴴ·A+β·C,cherk  
返回最能描述给定类型的 CharSequence，可替换标签值为自定义类型,get type label  
使用条件与回调注册单次位置更新,request single update  
当托管回调的进程消失时调用,on callback died  
