Functional Description,Method Name
使用有关项目的信息填充指定类型的事件，并尝试通过视图层次结构向上发送它,send event for virtual view
设置媒体控制器兼容性，以便以后通过获取支持媒体控制器进行检索,set support media controller
返回与此对象相同类型的对象，并减去指定的时间段。,minus
设置或清除路径效果对象,set path effect
设置当用户选择下拉列表中的项目时将收到通知的侦听器,set on item selected listener
读取短值的相对 get方法。,getShort
设置将显示的最小指数位数,set minimum exponent digits
当字幕字体比例因子发生变化时调用,on font scale changed
返回给定资源名称的资源标识符,get identifier
由配置文件或设备所有者调用以更改用户是否可以卸载软件包,set uninstall blocked
在强制加载数据后对视图的状态执行断言,check
返回该对象所附加的段落的行数，“第一行”边距将应用于,get leading margin line count
如果选择了视图，则返回从当前位置到最终位置的 x / y 偏移量,get view selected offsets
返回与特定资源 ID 关联的字符串值,get text
替换数据库中行的便捷方法,replace
设置通道位置掩码,set channel mask
接受从类型 T中提取 int排序键的 T ，并返回按该排序键进行比较的 Comparator<T> 。,comparingInt
返回此路径的根组分作为 Path对象，或 null如果该路径不具有根组件。,getRoot
包含真实UI的向量。,uis
开始重新转换操作。,reconvert
指示给定设备连接的 MTU 已更改的回调,on mtu changed
膨胀给定的 xml 资源并将首选项层次结构添加到当前首选项层次结构,add preferences from resource
将此 RowSet对象的SQL命令中的指定参数设置为SQL NULL 。,setNull
设置绘画的文本对齐方式,set text align
返回集合中的 index项。,item
设置源的描述,set content description
提供一个可绘制对象，该对象将在框架布局中的所有子视图之上呈现,set foreground
确定选择当前是否可见。,isSelectionVisible
在当前线程中按顺序对每个剩余元素执行给定操作，直到所有元素都已处理或操作引发异常。,forEachRemaining
如果操作应响应给定的键码，则返回 true,responds to key code
想要以不同方式处理来自模型的变更事件的子类可以覆盖此方法，以返回自定义变更监听器实现的实例,createChangeListener
以向后兼容的方式从通知中获取 extras 字段,get extras
检索系统中所有已知的权限组,get all permission groups
设置此视图的标识符,set id
模拟短按删除键,press delete
删除该对象的所有侦听器并暂停侦听器,remove all listeners
当当前页面滚动时（作为以编程方式启动的平滑滚动或用户启动的触摸滚动的一部分）将调用此方法,on page scrolled
获取手势可以包含的笔划数的上限,get max stroke count
将指定的元素插入此队列中，如果它是立即可行且不会违反容量限制，返回 true在成功和 false ，如果当前没有空间可用。,offer
从键创建输入映射UI资源,makeInputMap
应用程序重新打开时调用,appReopened
当首选项层次结构已从首选项列表中分离时调用,on detached
访问可执行类型。,visitExecutable
获取结果。,get
相对批量 获取方法。,get
重写过滤输入流重置以重置进度监视器及流,reset
比较此缓冲区与另一个缓冲区。,compareTo
返回提供的索引处的属性的XML类型,getAttributeType
返回已过滤目标Raster的边界框。,getBounds2D
向框架注册一个或多个空闲资源,register idling resources
如果分析返回 true，则停止分析,stop profiling
如果当前线程有待处理的事务，则返回 true,in transaction
使用指定的格式化程序在本月创建格式。,format
更新工具栏项目的视觉效果,set toolbar item
返回此缓冲区的当前哈希码。,hashCode
检查此日期时间是否等于另一个日期时间。,equals
返回方向,getOrientation
设置演示者映射器数组,set presenter mapper
返回此首选项的标题资源 ID,get title res
返回视频高度的对齐要求（以像素为单位）,get height alignment
将对象写入到当前数据位置的包中，如果需要则增加数据容量,write strong binder
旋转提供的旋转矩阵，使其以不同的坐标系表示,remap coordinate system
该对象实现了readExternal方法，通过为原始类型调用DataInput方法并为对象，字符串和数组调用readObject来恢复其内容。,readExternal
已过时。,setDocumentHandler
取消注册指定的回调,unregister callback
设置布局方向,set layout direction
以字符串形式返回大数小数,to string
返回列表中页脚视图的数量,get footer views count
将菜单资源填充到此工具栏中,inflate menu
返回提供者是否必须提供海拔信息,is altitude required
如果可能的话清理用户输入的网址,guess url
从适配器中删除第一次出现的给定项目,remove
返回此匹配结果模式中的捕获组数。,groupCount
由设备所有者调用以检索设备上次重新启动之前的设备日志,retrieve pre reboot security logs
将名称转换为可用于分组、排序和搜索的“键” 。,key for
当为真时：我们为正项目偏移量添加左/顶部填充，为负项目偏移量添加右/底部填充,is item alignment offset with padding
取消注册其所注册的传感器的侦听器,unregister listener
ICC配置文件标记签名：'gXYZ'。,icSigGreenMatrixColumnTag
已过时。,processingInstruction
资产文件描述符包含其自己的包裹文件描述符，除了普通文件描述符对象之外，还允许您在使用完描述符后关闭该描述符,get parcel file descriptor
获取此视图组的布局过渡对象,get layout transition
使用 charequence.subsequence 返回修剪序列，该序列使用修剪选项和跨度条件省略字符串开头或结尾的匹配元素。,trim
将这个有理数与另一个对象进行比较，看看它们是否相等,equals
设置为指示自J2SE 1.4以来的序列化兼容性的类指纹。,serialVersionUID
为此JScrollPane设置布局管理器,setLayout
当检测因错误而失败时调用,on error
在指定偏移处创建一个文本命中信息，与偏移前的字符相关联,afterOffset
返回XML数据的编码样式,getCharacterEncodingScheme
默认文件提供程序实现不需要初始化,on create
设置模型的范围。,setExtent
每当传输控制标志发生更改时调用,on client transport control update
返回XML的系统ID,getSystemId
使用给定的过渡简单地更改为给定场景的便捷方法,go
检查此对象是否等于另一个。,equals
获取扩展的对象标识符。,getId
准备启动铃声选择器的意图,on prepare ringtone picker intent
返回如果长按某个项目，项目触摸助手是否应启动拖放操作,is long press drag enabled
如果设备被视为在当前网络上漫游以进行订阅，则返回 true,is network roaming
返回一个组合的 DoubleConsumer ，它按顺序执行此操作，然后执行 after操作。,andThen
获取文本选择开始或光标位置,get text selection start
当滑动窗格的位置改变时调用,on panel slide
将所有当前配置相关设置读取到配置对象中的便捷功能,get configuration
获取所有正在进行的会话的控制器列表,get active sessions
当从数据库检索图标且结果非空时调用,on received icon
返回包装指定对象的树模型,createTreeModel
返回与此映射中的最小键关联的键 - 值映射，如果映射为空，则 null 。,firstEntry
返回显示指南描述的视图,get description view
返回给定位置的数据项，如果尚未加载则返回 null,get item
如果您预见到基于此方案的 ids 发生冲突，请覆盖此方法：基本实现返回一个 long ：位 0：此 id 是否指向未设置的子项或组集，因此对于此方法，此位将为 1,get combined child id
将媒体项行对象中的操作绑定到其视图,on bind row actions
返回此set的部分视图，其元素大于或等于 fromElement 。,tailSet
隐藏现有片段,hide
设置将用于确定用户键入的文本的相关范围的分词器,set tokenizer
一块瓷砖即将更新（它要么被抓取用于写入，要么正在从写入中释放）。,tileUpdate
在指定的 InputSource的上下文中计算XPath表达式，并将结果返回为 String 。,evaluate
确定同步结果是否表明发生软错误的便捷方法,has soft error
查询给定的 url ，返回结果集上的光标,query with factory
返回键的状态代码,get status code
返回具有给定资源 ID 的视图,on find view by id
滚动条的宽度。,scrollBarWidth
异步生成调色板,generate
如果 Activity 当前处于画中画模式，则返回 true,is in picture in picture mode
通知主机应用程序处理 ssl 客户端证书请求,on received client cert request
将对片段的引用放入包中,put fragment
控制是否启用此视图状态的保存，即是否调用其 on save 实例状态方法。,set save enabled
为此序列设置当前值,setValue
"sgbmv 执行矩阵向量运算之一 y := alpha ax + betay 或 y := alpha atx + betay 详细信息： 注意：对于 mn 矩阵，输入分配的大小也应为 mn dimy = m , dimx = n ，但只有 mkl+ku+1 区域会被引用",sgbmv
创建指定类型的元素。,createElement
用于确定当前配置的默认短信包,get default sms package
按 get order 返回的顺序转换布局动画控制器中存储的索引。animation 参数,get transformed index
设置日历生肖名称字符串，例如：“鼠”，“牛”，“虎”等,set zodiac names
设置当前索引,set index
参见 dup2,dup
释放对该对象的引用，如果释放了最后一个引用则关闭该对象,close
将 media session.token 附加到此通知，以向系统 UI 提供额外的播放信息和控制,set media session
获取当日时间字段。,getHour
绝对 获取方法。,get
设置 GPS 时间戳,set gps timestamp
返回用于生成此调色板的目标,get targets
获取水平分辨率（以 dpi 每英寸点数为单位）,get horizontal dpi
提供要显示为特定页面背景的内容,get background for page
允许弹出窗口将触摸拆分到也支持拆分触摸的其他窗口,set split touch enabled
返回此事件的整数代码。,getEventType
当元数据状态发生变化时，必须由子类适当地调用,on metadata changed
返回 100 年期间的开始日期 2 位数年份被解释为在,get 2 digit year start
返回搜索字段的默认图标化状态,is iconfied by default
返回此字体的斜体角度,getItalicAngle
设置放大比例,set scale
返回矩形的宽度,get width
返回当前请求的活动方向,get requested orientation
改变该模型的当前值，通常该值由所显示的 editor一个的一部分 JSpinner 。,setValue
返回为此目标选择的任何颜色是否仅用于该目标,is exclusive
调度悬停事件,dispatch hover event
实现由父类提供,insert
设置淡入淡出开始位置和右填充边缘之间的距离（以像素为单位）,get fading right edge offset
将此 RowSet对象命令中的指定参数设置为给定的Java boolean值。,setBoolean
由构造函数调用以提供片段转换,on provide fragment transitions
设置正后缀,set positive suffix
删除用于调用此操作的键码,remove key code
返回该特征的uuid,get uuid
为可绘制对象指定一组状态,set state
将阴影焦点级别设置为 0 到 1,set shadow focus level
设置与该地址关联的电话号码,set phone
获取指定显示上下文类型的格式化程序的显示上下文值，例如大小写,get context
返回由自定义小部件类实现的标题视图适配器,get title view adapter
返回该蓝牙设备的硬件地址,get address
将内容播放位置设置为从内容开头算起的长整数毫秒数,set content position
将此项目转换为文本，无论其实际包含的数据类型如何,coerce to text
返回 Raster其中包含为图形操作生成的颜色。,getRaster
设置辅助分组大小,set secondary grouping size
使用graphics2d上下文的设置填充形状的内部,fill
注册以监视会话生命周期事件,register session callback
返回与此区域设置关联的扩展键集，如果没有扩展名则返回空集,get extension keys
返回刚刚发送的彩信的发送状态,get send status
设置回调以在主线程上接收消息事件,set web message callback
返回捆绑包以获取额外的供应商特定数据，可以修改和检查,get extras
关闭此流，导致调用此流管道的所有关闭处理程序。,close
返回此包文件描述符的本机 fd int 并将其与此处的对象分离,detach fd
请求当前的对等点列表,request peers
图像的默认宽度，以像素为单位,get width
获取此整理器对象的版本,get version
设置要搜索的模式,set pattern
获取所有连接的 MIDI 设备的列表,get devices
返回给定质量级别的给定摄像机的摄像机配置文件,get
当代理对象已连接到服务时调用以通知客户端,on service connected
关闭或隐藏此输入法实例或其类打开的所有窗口。,hideWindows
获得荧光笔的画家。,getPainter
返回具有给定标题的第一个选项卡索引，如果没有选项卡具有此标题则返回-1,indexOfTab
创建开始重新注册相关关键词的意图,create re enroll intent
设置该曲目的播放采样率,set playback rate
将扩展数据添加到意图中,put char sequence array list extra
取消注册可清洁并调用清洁操作。,clean
由管理设备的应用程序调用以设置密码历史记录的长度,set password history length
检索JDBC的价值 FLOAT参数为 float的Java编程语言。,getFloat
设置可绘制数组,set drawables
返回用于创建视图持有者的初始状态,get initial state
获取对象格式代码事件参数,get object format code
设置用于传出视频的摄像机,on set camera
设置延迟（动画持续时间的一部分），子级动画将按该延迟偏移。,set delay
获取所表示元素内的索引。,getIndex
从数组复制到此分配中,copy from
获取应用于扩展此演示文稿布局的资源,get resources
返回启动此电视输入的设置活动的意图,create settings intent
返回右侧褪色边缘的强度或强度,get right fading edge strength
获取远程设备的友好蓝牙名称,get name
检索该按键事件的硬件按键 ID。这些值并不可靠，并且因设备而异,get scan code
控制显示表盘时第一张卡在屏幕中窥视的距离,get card peek mode
在首选项编辑器中设置一个布尔值，一旦调用 commit 或 apply 就会写回,put boolean
创建用于打印具有默认打印属性的打印文档适配器的打印作业,print
将此 XPath重置为其原始配置。,reset
该方法一个可能的返回值 DatabaseMetaData.getSQLStateType ，其用于指示该方法返回的值是否 SQLException.getSQLState是SQLSTATE值。,sqlStateSQL
此方法指示bean不应使用Gui。,dontUseGui
返回调用进程的全局内存状态信息,get my memory state
调用以获取数据源的大小,get size
获取此原点的字符串表示形式,get origin
获取内容：//给定卷上视频媒体表的样式 uri,get content uri
获取该特征的存储值,get value
返回沿x轴的对齐方式。,getLayoutAlignmentX
参见预读2,pread
返回使用此画布绘制的位图允许的最大宽度,get maximum bitmap width
设置此对话中显示的标题,set conversation title
设置此图像视图是否将裁剪为填充,set crop to padding
单击此可扩展列表中的子项时要调用的回调方法,on child click
调用此方法是为了通知您，在 s 内，从 start 开始的计数字符刚刚替换了之前具有长度的旧文本,on text changed
检索此缓冲区的字节顺序。,order
更新文件所有者。,setOwner
已过时。,parse
由框架调用以创建用于显示提取文本的布局,on create extract text view
注册一个回调，当会话过期更新发生时调用,set on expiration update listener
设置默认背景,set default background
当子视图即将在容器中可见时，视图组将调用此方法,show child
将指定参数设置为给定的Java double值。,setDouble
获取链接到此菜单项的额外信息,get menu info
设置在此 SSLSessionContext下分组的 SSLSession对象的超时限制。,setSessionTimeout
设置获取地址属性的值,set address
设置自动完成下拉列表的背景,set drop down background drawable
指示此滚动视图是否应该拉伸其内容高度以填充视口,set fill viewport
检索索引处属性的浮点值,get float
返回此对象支持的MIME类型的 DataFlavor对象的数组。,getMimeTypes
覆盖哈希码,hash code
当观察到扫描记录时返回自启动以来的时间戳,get timestamp nanos
远程客户端请求写入本地描述符,on descriptor write request
将可绘制对象添加到所包含可绘制对象列表的末尾,add child
覆盖等于,equals
获取 psk 身份提示以向客户端报告，以帮助就所提供引擎的 psk 达成一致,choose server key identity hint
获取此日期时间的年表。,getChronology
用当前颜色填充由指定矩形界定的椭圆,fillOval
将此打印作业的进度设置为 1 的分数,set progress
此方法已被弃用。操作栏导航模式已被弃用，并且内联工具栏操作栏不支持操作栏导航模式。考虑使用其他常见的导航模式,set selected navigation item
在循环int数组前面添加一个整数,add first
滚动窗格的首选尺寸是insets的尺寸加上viewport的首选尺寸，加上可见头部的首选尺寸，加上鉴于当前视图和当前滚动条显示策略将出现的滚动条的首选尺寸,preferredLayoutSize
设置用户认证成功后授权使用该密钥的持续时间（秒）,set user authentication validity duration seconds
返回浏览支持片段的实例。浏览支持片段将使用主片段适配器与目标片段进行通信,get main fragment adapter
参见 msync2,msync
比较时间字段记录,after
检索自上次成功输入密码以来用户输入密码失败的次数,get current failed password attempts
指定下一个动画运行时要发生的动作,with start action
返回此映射条目的哈希码值。,hashCode
列出具有特定功能的类型的所有帐户,get accounts by type and features
返回该组中所选单选按钮的标识符,get checked radio button id
网络信号强度变化时调用的回调,on signal strengths changed
关闭指定的音符。,noteOff
指定创建连接时要使用的密码,password
get xint 的第一个指针索引可以是任意指针标识符,get x
默认实现从缓冲区中当前光标位置返回给定数量的文本,get text before cursor
关闭指定的音符。,noteOff
一种属性，指定在解析时用于此实体的编码，当它是外部解析实体时。,getInputEncoding
ICC配置文件颜色空间类型签名：'2CLR'。,icSigSpace2CLR
检查此视图是否启用了嵌套滚动,is nested scrolling enabled
DriverManager.deregisterDriver(Driver)调用的方法，用于通知JDBC驱动程序已取消注册。,deregister
通知操作已更改并更新其 ui,notify action changed
如果支持缩放则返回 true,is zoom supported
应启动语音识别时调用的方法,recognize speech
返回用于为组的子项设置动画的布局动画控制器。,get layout animation
返回布局希望拥有的空间量,preferredLayoutSize
指定混合模式，用于将设置按钮色调列表颜色状态列表指定的色调应用于按钮可绘制对象,set button tint mode
表示该列存储结果。,procedureColumnResult
设置要显示在按钮顶部的可选图像,set image drawable
返回用作数字的字符数组，按从 0 到 9 的顺序排列,get digits
方便附加文本的 string.value,append
文档的位置或 null如果未定义）或 Document是使用 DOMImplementation.createDocument创建的。,getDocumentURI
克隆历史记录项以供 Web 视图客户端使用,clone
此方法使用单个方法调用设置所有模型的数据。,setRangeProperties
iconOnly价值。,iconOnly
从意图中检索扩展数据,get byte array extra
更改此相机服务的设置,set parameters
返回时代名称字符串,get era names
检索此对话框正在运行的上下文,get context
返回与此纹理视图关联的变换,get transform
将错误消息写入文件并将 logcat 作为错误的实用程序方法,write error to file and logcat
如果当设备从用户身体上移除时密钥将被取消授权，则返回 true 。,is user authentication valid while on body
设置将使用的默认通知选项,set defaults
将指定的引导步骤支持片段添加到片段堆栈中，替换堆栈中任何现有的引导步骤支持片段，并配置片段到片段的自定义转换。,add
返回一个String，该String可用于使用支持的脚本语言的语法调用Java对象的方法。,getMethodCallSyntax
设置 arg 用户名 和 arg 域参数，代表电子邮件地址,set email arguments
返回表示本地货币的国际字符串,get international currency symbol
以当前时间毫秒格式返回服务中心时间戳,get timestamp millis
删除给定的文档,delete document
设置可绘制对象的描边宽度和颜色,set stroke
将模型的最大值设置为 newMaximum 。,setMaximum
返回包含此片段的父片段,get parent fragment
滚动到指定的适配器位置，并从布局开始给定偏移量,scroll to position with offset
更改所包含卡框的扩展系数,set expansion factor
返回一个组合谓词，表示此谓词和另一个谓词的短路逻辑AND。,and
创建并返回一个新选项卡layout.tab,new tab
写一个DTD部分。,writeDTD
返回一个行过滤器，该过滤器包含至少有一个满足指定条件的数字值的条目,numberFilter
重写JComponent的getToolTipText方法，以允许在设置了文本的情况下使用渲染器的提示,getToolTipText
在测试方法的每次迭代后调用,after loop
除了获取窗口对齐偏移之外，还返回窗口对齐的偏移百分比,get window alignment offset percent
转换给定的类文件并返回一个新的替换类文件。,transform
该方法不受支持，调用时会抛出不支持的操作异常,add view
使用指定的格式化程序格式化此日期。,format
返回有效代码点的名称,get extended name
返回自启动以来的毫秒数，包括睡眠时间,elapsed realtime
返回负责排序的对象,getRowSorter
返回内存地址，指向给定索引处的字节，给定单位大小的模数。,alignmentOffset
设置格式化诊断和其他本地化数据时要应用的区域设置。,setLocale
将这个大的小数转换为短的小数,short value exact
通知已注册的侦听器 RowSet对象的光标已移动。,cursorMoved
返回 Text节点逻辑上相邻的文本节点到此节点的所有文本，按文档顺序连接。,getWholeText
替换所有unicode.g,replace unicode digits
返回视图中焦点项目对齐的方法,get window alignment
如果在文档的编码声明中设置了CharacterEncodingScheme，则返回true,encodingSet
从膨胀的布局资源创建适合此布局管理器的布局参数对象,generate layout params
不支持 - 请使用获取与连接 statesint 、 int 匹配的设备，并将 gatt 作为第一个参数,get devices matching connection states
跟踪表格内容变化，列插入,columnAdded
获取当前的重点领域,get focus areas
返回此缓冲区的当前哈希码。,hashCode
如果给定的管理员组件当前在系统中处于活动启用状态，则返回 true,is admin active
在index0中的索引之后发送，index1间隔已插入数据模型中。,intervalAdded
返回是否模拟主要共享/外部存储介质,is external storage emulated
测试此输入流是否支持标记和重置方法,mark supported
返回油漆的颜色,get color
如果视口应始终强制此Scrollable的高度与视口的高度匹配，则返回true。,getScrollableTracksViewportHeight
当为此窗口启动支持操作模式时调用,on window starting support action mode
在元素的位置打印指定种类的消息。,printMessage
当选择一个选项时调用,on option chosen
查找属性的值。,getProperty
包含真实UI的向量。,uis
将状态设置为活动状态，例如，两方或多方可以主动沟通的持续连接,set active
返回每个设计轴的名称。,getDesignAxisNames
检索设备上对象的父对象的对象句柄,get parent
返回绑定到该视图持有者的行,get row
将媒体 DRM 会话与此媒体加密实例关联,set media drm session
语言和绑定依赖类型的属性，表示可以输出16位单元的可写流。,getCharacterStream
指示是否拉伸此水平滚动视图的内容以填充视口,is fill viewport
获取特定图像，该图像是以指定大小表示此逻辑图像的最佳变体。,getResolutionVariant
在第一次调用获取活动之前调用此方法，以将自定义意图注入到被测活动中,set activity intent
返回组成调色板的所有样本,get swatches
设置Web视图是否不应从通过http和https uri方案访问的网络资源加载图像资源,set block network image
通知所有已注册此事件类型通知兴趣的监听器,fireValueChanged
检索我们所知道的有关特定权限组的所有信息,get permission group info
返回全局变量的未来,get global
ICC配置文件常量：curveType计数。,icCurveCount
控制如何调整图像大小或移动图像以匹配此图像视图的大小,set scale type
编译XPath表达式以供以后评估。,compile
返回一个指示 idna 处理错误的集合,get errors
每个人脸都有一个唯一的 ID，同时该人脸对跟踪器可见,get id
返回对元素的最后一个子节点的引用，该节点是Element类型。,getLastElementChild
设置热点受约束的边界（如果它们与可绘制边界不同）,set hotspot bounds
格式专业化,format
返回具有给定重力的抽屉的标题,get drawer title
返回此表是否总是被调整大小以填满封闭视口的高度,getFillsViewportHeight
指示该有理数是否表示有限值,is finite
检查该视图是否可以在某个方向上垂直滚动,can scroll vertically
由捕获请求、相机捕获 session.capture 回调、处理函数系列返回的此失败的序列 ID,get sequence id
查看活动正在销毁,on activity destroy
获取此日期时间的本地时间部分。,toLocalTime
返回对元素的第一个子节点的引用，该节点是Element类型。,getFirstElementChild
将所有已实现的控制器重置为其默认值。,resetAllControllers
获取此对象的字体。,getFont
释放上下文,release
当共享元素在共享元素转换期间应使用覆盖层时返回 true，当它们应作为正常视图层次结构的一部分进行动画处理时返回 false,get shared elements use overlay
返回菜单项的可见性,is visible
设置页面之间的边距,set page margin
获取源视图的 id 的完全限定资源名称,get view id resource name
返回此音频效果执行的当前测量模式,get measurement mode
检索与此 Map对象关联的 RowSet对象，该对象指定SQL用户定义类型的自定义映射（如果有）。,getTypeMap
返回一个集合，用于迭代数组映射中的所有值并与之交互,values
以字符串形式获取指定行和列索引处的字段值,get string
获取相机的z位置,get location z
返回左侧内边距（以像素为单位）,get left padding
获取ca证书,get ca certificate
返回用作暗淡图层的可绘制对象,get dim layer
从片段的包含活动中调用启动活动意图,start activity
一个方便的包装器，它从 get 线程策略 中获取当前严格模式.线程策略，将其修改为允许磁盘读取和写入，并使用 set 线程策略 严格模式.线程策略 设置新策略，返回旧策略，以便您可以恢复它位于块的末尾,allow thread disk writes
使这个可绘制对象可变,mutate
注册 ImageConsumer和 ImageProducer ，以便在以后重建 Image期间访问图像数据。,addConsumer
获得 ChronoZonedDateTime在从这个年表 Instant 。,zonedDateTime
获取用于此实例操作的 android 上下文,get context
将扩展重置为其初始的空状态,clear extensions
返回与索引指定的字符边界关联的标志,get character bounds flags
将法语排序规则设置为构建基于规则的排序规则期间设置的初始模式,set french collation default
该函数指定元素内子元素的位置,get sub element offset bytes
建立命名空间上下文。,setNamespaceContext
获取人类可读的介质尺寸标签,get label
如果系统支持基于 sip 的 voip api，则返回 true,is voip supported
从日期间隔信息的骨架和给定的区域设置构造日期间隔格式,get instance
设置身份,set identity
使用给定的搜索查询创建搜索片段,new instance
类型评估器将根据提供给属性值持有者的值的类型自动确定,set evaluator
调用以指示信息或警告,on info
返回用于自定义选项卡的首选包,get package name
获取该视图组的后代可聚焦性,get descendant focusability
将配置更改调度到所有片段,on configuration changed
检索梦想的当前窗口管理器,get window manager
如果该集合包含给定范围内的一个或多个字符，则返回 true,contains some
指示此位置是否是面向模块的位置，因此与面向包的位置（预期包含 包/类层次结构中的类）相比，期望在 模块/包/类层次结构中包含类。,isModuleOrientedLocation
停止投影,stop
基于 save flags ，可以将当前矩阵和剪辑保存到私有堆栈上,save
与获取消息相同，不同之处在于它还设置返回消息的 What 、 obj 、 arg1 和 arg2 值,obtain message
使用给定的 mime 类型和显示名称创建一个新文档,create document
设置此过渡使用的动画对象之一的插值器,set interpolator
向该视图的父级报告可访问性操作以进行委托处理。,dispatch nested pre perform accessibility action
将指定参数设置为给定的 java.math.BigDecimal值。,setBigDecimal
返回给定用户是否正在“解锁”状态下运行,is user unlocked
设置 arg 查询字符串参数,set query string
该方法用于确定该测试用例可以在什么模式下运行,is performance only
从指定时钟获取此年表中的当前本地日期。,dateNow
添加一个孩子,add child
请求音频焦点,request audio focus
当系统更新服务提供有关待处理系统更新的信息时，允许接收者收到通知,on system update pending
返回当前 y 起点,get ys tart
返回此年月份的副本，并减去指定的金额。,minus
sspr2 执行对称秩 2 运算 a := alphaxyt + alphayxt + a 详细信息：注意：对于 nn 矩阵，输入分配应该是大小为 dimx = nn+1 / 2 的 1d 分配，以下子例程可以是示例如何将上三角矩阵 ' a ' 转换为压缩矩阵 ' b ',sspr 2
执行给定的任务，返回已成功完成的任务的结果（即，不抛出异常），如果在给定的超时之前已经执行了任何操作。,invokeAny
已过时。,getStream
判断文件是否为符号链接。,isSymbolicLink
包含在DTD中声明的外部和内部通用实体的 NamedNodeMap 。,getEntities
调用以通知客户端此代理对象已与服务断开连接,on service disconnected
使用给定的Java Object设置此 RowSet对象命令中的指定参数。,setObject
返回给定月份/扩展年份开始的 jd,handle compute month start
获取子窗口的数量,get child count
on child 在 canvas 、 recycler view 、 recycler view.viewholder 、 float 、 int 、 boolean 上绘制的默认实现,on draw over
返回此链接地址的前缀长度,get prefix length
不推荐使用，要删除：此API元素将在以后的版本中删除。,removePermission
得到一个提示，该操作应该内联显示 - 即,get hint display action inline
删除之前安装的全局布局回调,remove on global layout listener
只要树中的项目已折叠，就会调用此方法。,treeCollapsed
从模型的侦听器列表中删除 ChangeListener 。,removeChangeListener
获取此graphics2d上下文中字体的渲染上下文,getFontRenderContext
请求关闭本次会话,on close
后连接具有指定比例的矩阵,post scale
当给定的小吃栏可见时调用,on shown
检索该组已知的所有活动的状态,save instance state
返回当前名称空间上下文。,getNamespaceContext
返回此列表的哈希码值。,hashCode
指定此可绘制对象的色调混合模式,set tint mode
如果该类型具有 mipmap 链，则返回,has mipmaps
从此打印服务中删除打印服务侦听器。,removePrintServiceAttributeListener
检索数字排序规则值的方法,get numeric collation
为玩家附加辅助效果,attach aux effect
确保在仪器退出之前完成在此仪器中启动的所有活动,finish
为此视图注册一个拖动事件侦听器回调对象,set on drag listener
返回父级,get parent view group
设置用于呈现行标题的演示者选择器,set header presenter selector
当此布局管理器与其父回收器视图分离或其父回收器视图与其窗口分离时调用,on detached from window
参见 prctl2,prctl
ICC配置文件标记签名：'gXYZ'。,icSigGreenColorantTag
如果项目放置在操作栏上，则设置负责创建操作视图的操作提供者,set action provider
设置一个观察者来收集在此窗口中渲染的每个帧的帧统计信息,add on frame metrics available listener
创建一个新的 SocketImpl实例。,createSocketImpl
内部框架关闭时调用。,internalFrameClosed
报告相关 ImageReader当前 read电话的大致完成程度。,imageProgress
查询服务以获取给定语言支持的一组功能,on get features for language
此方法返回 Insets描述相对于实现Component的几何的自动滚动区域或边框。,getAutoscrollInsets
如果输入法中当前有任何视图处于活动状态，则返回 true,is active
向所有感兴趣的广播接收者广播给定的意图,send broadcast
返回键盘锁当前是否被锁定,is keyguard locked
动画开始时调用,on animation start
捕获可恢复的异常时调用此方法。,exceptionThrown
当组展开时调用,on group expanded
获取一系列字符并将其复制到Segment中。,getChars
当给定视图持有者上的添加动画结束时调用,on add finished
设置此首选项在禁用时是否应禁用其视图,set should disable view
根据给定语言环境的数据构建灵活的生成器,get instance
使整个视图无效,invalidate
以 Rectangle对象的形式获取此对象的边界。,getBounds
处置这个图形上下文并释放它正在使用的任何系统资源,dispose
获取可以在节点上执行的操作,get action list
通知注册观察者一行已更新并尝试将更改同步到网络,notify change
返回软键盘控制器，可用于查询和修改软键盘显示模式,get soft keyboard controller
返回填充此可绘制对象建议的插入，用于将内容放置在可绘制对象的边界内,get padding
如果支持 wps 显示配置，则返回 true,wps display supported
返回“id”属性的整数值，如果没有则返回默认值,get id attribute resource value
列表中的对（名称和namespaceURI）的数量。,getLength
设置播放控件行的总时间（以毫秒为单位）,set total time
ICC配置文件颜色空间类型签名：'实验室'。,icSigLabData
返回操作行的视图,get actions row
从选择中移除路径的任何后代路径,removeDescendantSelectedPaths
折叠面板时启动活动,start activity and collapse
获取与特定订阅 ID 关联的短信管理器实例,get sms manager for subscription id
锁定 wi - fi 无线电，直到调用释放为止,acquire
表示该列可能不允许 NULL值。,columnNoNulls
将此 Web 视图的内容向上滚动视图大小的一半,page up
返回播放控件行的当前时间（以毫秒为单位）,get current time
返回给定块（通常是“页面”上/下请求）更改滚动条值的量,getBlockIncrement
由于接收到操作密码已更改，用户更改了其设备或配置文件质询密码后调用,on password changed
返回沿y轴的对齐方式。,getLayoutAlignmentY
编写XML声明。,writeStartDocument
获取一个比较器，按时间顺序比较 ChronoLocalDate ，忽略年表。,timeLineOrder
将分子转换为字符串并将其设置为 arg 分子的值的便捷方法,set numerator
设置视图中焦点项目对齐的方法,set window alignment
将指定列的表的目录名（如果有）设置为给定的 String 。,setCatalogName
启用或禁用指定输入法的当前客户端窗口的位置和状态的通知,enableClientWindowNotification
获取显示给定组的视图,get group view
当辅助功能启用状态更改时调用,on accessibility state changed
获取命名空间URI绑定到当前范围中的前缀。,getNamespaceURI
"返回一组布局参数，其中包含换行内容的宽度、换行内容的高度以及坐标 0 , 0",generate default layout params
将可运行队列排队以在 gl 渲染线程上运行,queue event
